Symbol,Name,Sector,Industry,52high,52low,변동률(%),Sector2
A000880,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",35600,23400,52.13675214,화학
A00088K,한화3우B,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",16950,13500,25.55555556,화학
A088350,한화생명,보험업,생명보험,3670,2050,79.02439024,서비스/오락/문화
A000370,한화손해보험,보험업,손해보험,5380,3465,55.26695527,서비스/오락/문화
A009830,한화솔루션,기초 화학물질 제조업,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",54600,30050,81.69717138,화학
A009835,한화솔루션우,기초 화학물질 제조업,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",61700,31000,99.03225806,화학
A272210,한화시스템,전자부품 제조업,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조",18200,12100,50.41322314,전기/전자
A012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업","항공기엔진,특수방산장비 제조/정비사업",85400,40450,111.1248455,제조
A000885,한화우,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",43000,28300,51.9434629,화학
A003530,한화투자증권,금융 지원 서비스업,"유가증권 위탁매매,자기매매,인수주선",6800,2515,170.3777336,금융업
A003535,한화투자증권우,금융 지원 서비스업,"유가증권 위탁매매,자기매매,인수주선",18100,5410,234.5656192,금융업
A386580,한화플러스제2호스팩,금융 지원 서비스업,-,3505,2135,64.16861827,금융업
A195870,해성디에스,전자부품 제조업,반도체 패키지용 Substrate,73700,38550,91.18028534,전기/전자
A034810,해성산업,기타 금융업,시설관리 용역 및 부동산 임대,15200,9730,56.21788284,금융업
A03481K,해성산업1우,기타 금융업,시설관리 용역 및 부동산 임대,42800,11500,272.173913,금융업
A076610,해성옵틱스,사진장비 및 광학기기 제조업,휴대폰용 렌즈모듈 및 카메라모듈,1230,519,136.9942197,제조
A059270,해성티피씨,기타 금속 가공제품 제조업,기어 및 동력전달장치,13100,5610,133.5115865,제조
A101530,해태제과식품,기타 식품 제조업,"홈런볼, 오예스, 맛동산, 부라보콘 등",9450,6270,50.71770335,제조
A220180,핸디소프트,소프트웨어 개발 및 공급업,"EKP, BPM, 네트워크장비",5790,3210,80.37383178,IT
A143210,핸즈코퍼레이션,자동차 신품 부품 제조업,자동차 알루미늄 휠,5700,3450,65.2173913,제조
A900270,헝셩그룹,기타 금융업,자회사 제품 : 아동용 완구 및 아동복 등,540,302,78.80794702,금융업
A214180,헥토이노베이션,기타 정보 서비스업,휴대폰부가서비스,21100,13000,62.30769231,서비스/오락/문화
